outcome,first_move,count
white,d4,2258
white,e4,6371
white,e3,142
white,c4,383
white,Nf3,373
white,Nh3,9
white,f4,68
white,b4,48
white,Nc3,42
white,h3,7
white,b3,82
white,d3,50
white,g3,85
white,g4,11
white,h4,6
white,c3,31
white,a4,9
white,a3,17
white,f3,8
white,Na3,1
black,d4,2043
black,e4,5651
black,c4,305
black,a4,18
black,Nf3,292
black,g3,95
black,e3,255
black,h4,25
black,f4,82
black,b4,36
black,b3,83
black,h3,7
black,d3,79
black,Nc3,55
black,f3,13
black,c3,25
black,a3,9
black,g4,25
black,Nh3,6
black,Na3,3
draw,e4,576
draw,d4,221
draw,f4,16
draw,Nf3,60
draw,c4,28
draw,e3,19
draw,a3,1
draw,g3,6
draw,b4,4
draw,Nc3,2
draw,b3,8
draw,g4,2
draw,d3,2
draw,f3,2
draw,h4,2
draw,a4,1
